method_id,year,output_cost_per_unit_excl_fuel_AUD_per_MWh,diagnostic_bundled_cost_AUD_per_MWh,diagnostic_fuel_cost_AUD_per_MWh,fuel_share_of_total_cost,annual_mwh_delivered,co2e_tonnes_per_MWh,ch4_physical_kg_per_mwh,n2o_physical_kg_per_mwh,co2_kg_per_mwh
electricity__grid_supply__fossil_incumbent,2045,21.708694819094404,51.307634077665234,29.598939258570834,0.576891524831693,269918145.1989095,0.30289342108478146,0.07135555132013784,0.01028282541364762,298.17051691320097
electricity__grid_supply__fossil_incumbent,2050,26.06766606931343,63.49825210107248,37.43058603175905,0.589474273593853,276299285.52560866,0.26493792795267196,0.08574575649469376,0.01148774879365444,259.49279334050215
electricity__grid_supply__gas_fleet_maintained,2025,1.7502841962227889,23.66381708546253,21.913532889239743,0.9260354240441605,182226173.61167872,0.5311131529136093,0.008389242159322729,0.004992487325128391,529.5552449919893
electricity__grid_supply__gas_fleet_maintained,2030,14.099851655589058,54.901455329439756,40.80160367385069,0.7431789089928129,212086708.7218111,0.1854958374543309,0.012861609639117493,0.00040822407351160923,185.02753300495502
electricity__grid_supply__gas_fleet_maintained,2035,19.80077785855684,57.326981729250306,37.526203870693465,0.6545993306943323,228853121.1984799,0.16521474566295308,0.018371869221440382,0.0012801327660160178,164.3610981417585
electricity__grid_supply__gas_fleet_maintained,2040,27.65824990771652,62.37613575536346,34.71788584764694,0.5565892376502611,253049595.14817423,0.14429235253366582,0.049188658761982244,0.005510034547694947,141.45491093319114
electricity__grid_supply__gas_fleet_maintained,2045,38.825622600609286,63.99416411517003,25.168541514560737,0.3932943239834341,269918145.1989095,0.09923655012671276,0.06495315820615571,0.007914149351836614,95.32061211870369
electricity__grid_supply__gas_fleet_maintained,2050,42.57649482926545,68.27594862304387,25.69945379377843,0.3764056642503329,276299285.52560866,0.09823603684008779,0.0793957451964144,0.0098347628621848,93.40674381610921
electricity__grid_supply__nuclear_baseload,2025,1.748082649036989,23.663742811492586,21.9156601624556,0.9261282265040504,182226173.61167872,0.5311550260489536,0.00838983273661456,0.004992921091365047,529.5969866431166
electricity__grid_supply__nuclear_baseload,2030,2.874038270226311,27.093431837076654,24.219393566850346,0.8939212172341615,212086708.7218111,0.5150476366830488,0.009049432450485957,0.004579984180224387,513.5805567666757
electricity__grid_supply__nuclear_baseload,2035,11.31944926526667,43.10665880438565,31.787209539118983,0.7374083359920478,228853121.1984799,0.3477173632866223,0.014198733273271187,0.002843683242809178,346.56622269562627
electricity__grid_supply__nuclear_baseload,2040,19.001367278998565,53.05437611878394,34.05300883978538,0.6418510843204296,253049595.14817423,0.2637288098103599,0.037782436102859085,0.005187794482227324,261.2961360616896
electricity__grid_supply__nuclear_baseload,2045,42.9133639074857,64.87938604251941,21.96602213503372,0.3385670468681385,269918145.1989095,0.15673542567020987,0.03326365505610668,0.0045241450282271865,154.60514489615866
electricity__grid_supply__nuclear_baseload,2050,63.94709843539598,78.79274692049252,14.845648485096532,0.18841389677754028,276299285.52560866,0.08892132490654665,0.07583487539968978,0.00991328460495327,84.17092797504272
electricity__grid_supply__rapid_coal_phaseout,2025,1.7502841962227889,23.66381708546253,21.913532889239743,0.9260354240441605,182226173.61167872,0.5311131529136093,0.008389242159322729,0.004992487325128391,529.5552449919893
electricity__grid_supply__rapid_coal_phaseout,2030,14.136538713023203,54.92552055769964,40.788981844676435,0.7426234914210295,212086708.7218111,0.18543846131474678,0.012857457922234711,0.00040807481820871034,184.9703126660989
electricity__grid_supply__rapid_coal_phaseout,2035,20.060165741123384,57.320977279534034,37.26081153841064,0.6500379670203965,228853121.1984799,0.16403719168995645,0.01851388920304828,0.0013071807272466436,163.17239989955073
electricity__grid_supply__rapid_coal_phaseout,2040,27.65824990771652,62.37613575536346,34.71788584764694,0.5565892376502611,253049595.14817423,0.14429235253366582,0.049188658761982244,0.005510034547694947,141.45491093319114
electricity__grid_supply__rapid_coal_phaseout,2045,38.825622600609286,63.99416411517003,25.168541514560737,0.3932943239834341,269918145.1989095,0.09923655012671276,0.06495315820615571,0.007914149351836614,95.32061211870369
electricity__grid_supply__rapid_coal_phaseout,2050,42.57649482926545,68.27594862304387,25.69945379377843,0.3764056642503329,276299285.52560866,0.09823603684008779,0.0793957451964144,0.0098347628621848,93.40674381610921
electricity__grid_supply__storage_led,2025,1.7309501825636973,23.65910784196376,21.92815765940006,0.9268378928687436,182226173.61167872,0.5312172759515085,0.008392358106529102,0.004993618600652355,529.6589809953527
electricity__grid_supply__storage_led,2030,9.24031309963193,32.49604053321552,23.255727433583587,0.7156480313290158,212086708.7218111,0.5143387209736349,0.008735948427559275,0.004620464523467346,512.8696913189443
electricity__grid_supply__storage_led,2035,52.58845488184248,68.43803034698647,15.849575465143984,0.23159017559075454,228853121.1984799,0.06858839284175829,0.04119784177844125,0.004980665188752225,66.11497699694259
electricity__grid_supply__storage_led,2040,59.784858327254,72.02947291131602,12.244614584062017,0.16999450487632758,253049595.14817423,0.04929504900901542,0.051304079930716555,0.0064563197619498,46.14761003403866
electricity__grid_supply__storage_led,2045,61.71088085158042,70.28959811982301,8.57871726824259,0.12204817636911809,269918145.1989095,0.03258687287869712,0.06314365047719751,0.008140915821395972,28.66150797266566
electricity__grid_supply__storage_led,2050,66.79552758398637,76.05756930135668,9.262041717370302,0.12177672521550185,276299285.52560866,0.02173568069825212,0.07641395503762986,0.009975994902558905,16.952451308020372
