import time: self [us] | cumulative | imported package
import time:     26854 |      26854 |         dateutil._version
import time:    164928 |     191781 |       dateutil
import time:    122767 |     122767 |           sysconfig
import time:    262843 |     385609 |         pandas.compat._constants
import time:     26602 |      26602 |         pandas.compat.compressors
import time:     29978 |      29978 |             pandas.util
import time:    261743 |     291720 |           pandas.util.version
import time:    233888 |     525608 |         pandas.compat.numpy
import time:       202 |        202 |             gc
import time:     54978 |      54978 |             pyarrow._generated_version
import time:      6458 |       6458 |                 _decimal
import time:    191590 |     198048 |               decimal
import time:      3494 |       3494 |                     copy
import time:    180671 |     184164 |                   dataclasses
import time:      4223 |       4223 |                     traceback
import time:       154 |        154 |                     atexit
import time:    338827 |     343202 |                   logging
import time:      5180 |       5180 |                     _uuid
import time:    216489 |     221668 |                   uuid
import time:    473948 |    1222981 |                 cloudpickle.cloudpickle
import time:    269289 |    1492270 |               cloudpickle
import time:      6220 |       6220 |               signal
import time:     18967 |      18967 |               pyarrow.util
import time:       130 |        130 |                   _heapq
import time:    138250 |     138379 |                 heapq
import time:      6550 |       6550 |                 _queue
import time:    343266 |     488194 |               queue
import time:   1224651 |    3428347 |             pyarrow.lib
import time:     20040 |      20040 |             pyarrow.ipc
import time:     23208 |      23208 |             pyarrow.types
import time:    986514 |    4513286 |           pyarrow
import time:    145131 |    4658416 |         pandas.compat.pyarrow
import time:    958831 |    6555065 |       pandas.compat
import time:     30810 |      30810 |                   numpy.random._common
import time:     11922 |      11922 |                       _hashlib
import time:       158 |        158 |                         _blake2
import time:    183078 |     183235 |                       hashlib
import time:    344282 |     539438 |                     hmac
import time:    152912 |     692349 |                   secrets
import time:    461869 |    1185027 |                 numpy.random.bit_generator
import time:    252553 |    1437580 |               numpy.random._bounded_integers
import time:     37528 |      37528 |                   numpy.random._pcg64
import time:    206296 |     243823 |                 numpy.random._generator
import time:     27580 |      27580 |                 numpy.random._mt19937
import time:     21634 |      21634 |                 numpy.random._philox
import time:     35220 |      35220 |                 numpy.random._sfc64
import time:     41191 |      41191 |                 numpy.random.mtrand
import time:   1074751 |    1444197 |               numpy.random._pickle
