sweep_id,carbon_price_aud_per_tco2e,tns_price_aud_per_tco2,year,cost_per_mwh_excl_fuel_carbon,co2_t_per_mwh,co2e_total_t_per_mwh,gj_per_mwh_coal,gj_per_mwh_diesel,gj_per_mwh_natural_gas,gj_per_mwh_biomass,annual_generation_twh,solve_gap_rel,solve_pinf_rel,solve_dinf_rel,solve_iterations,solve_wall_s,solve_model_status,tolerance_robust,carried_capex_aud_per_yr,carried_vintages,carried_gw,existing_fleet_fom_aud_per_yr,existing_fleet_active_gw,renewable_share_pct_bulk_grid,diagnostic_cost_per_mwh_year_t_incremental,diagnostic_bundled_cost_per_mwh,diagnostic_fuel_cost_per_mwh,diagnostic_carbon_cost_per_mwh
c250,250.0,0.0,2030,28.889421475317526,0.0096151903821119,0.0110794209780273,0.0193179770202819,4.663408586819887e-07,0.7484379344137864,0.7997231097406771,189.41096450104777,,,,,4198.110801998526,Optimal,False,0.0,0,0.0,1377747355.8075914,90.74839,91.26233591731776,21.615569301886616,35.182414874533684,10.796990328140248,2.7698552445068234
c250,250.0,0.0,2035,30.834101342872337,0.0071561357018201,0.0102131434785185,0.0149578935072745,2.8046261421096595e-05,0.5763934244726657,1.6880286065716168,218.7816694796174,,,,,4994.701501399279,Optimal,False,3829635460.108077,1,30.56174730358303,970701074.6418356,82.92256,93.26081951886862,8.892882290253615,20.2103244200365,8.764156260153246,2.55328586962964
c250,250.0,0.0,2040,35.69876790904219,0.0055982200279854,0.0109177250352566,0.0134764528186507,4.930406165970319e-05,0.5657546538906638,2.9472513336507555,238.9062472439576,,,,,4433.830055901781,Optimal,False,5269819334.691712,2,40.08517892820621,683847384.6606917,77.02510000000001,93.42632314112504,10.77825290353522,23.482918384535623,9.975234222186243,2.7294312588141656
c250,250.0,0.0,2045,38.18460070506005,0.0041977739489884,0.0106697395837593,0.0117776612540867,5.662789720904073e-05,0.4443176121917654,3.5894792950608,246.9725735076325,,,,,5224.453718500212,Optimal,False,7221054119.271158,3,50.830109137060326,467229368.83918345,69.57561,94.77093674996944,7.054490268434008,18.712403084883203,8.990477920509367,2.667434895939825
c250,250.0,0.0,2050,40.54384399465109,0.0038621424759406,0.0109034527941496,0.0063467280193346,3.796355497087584e-05,0.4102816046111197,3.906366135882588,252.0168366180842,,,,,6841.17319069989,Optimal,False,8264071653.22432,4,55.14169571924538,249682162.71527335,61.07735,95.17343770337229,6.761363704091541,18.279195560931395,8.791968658302446,2.725863198537407
c350,350.0,0.0,2030,29.593987197422003,0.0071619144367621,0.0086154562374019,0.0066823436865457,4.286143656413105e-07,0.7535876888640064,0.7974140281602681,189.41096450104777,,,,,4241.914422901347,Optimal,False,0.0,0,0.0,1377747355.8075914,90.74839,91.3610485424162,22.32013502399109,36.15237547656,10.816830769478225,3.0154096830906907
c350,350.0,0.0,2035,31.526338105577,0.0052702387451299,0.0083015181596105,0.0033304241279575,9.16535038712207e-05,0.5788871733232007,1.67658834525445,218.7816694796174,,,,,5480.762130599469,Optimal,False,3965918562.462078,1,31.73433832837299,970701074.6418356,82.92256,93.3650842793774,8.962200767901958,20.61788902811956,8.75015690435392,2.905531355863677
c350,350.0,0.0,2040,36.25559942643303,0.0044592350701548,0.0097409368289891,0.0035414220619991,5.815137218084718e-05,0.5619215348850054,2.927938781187699,238.9062472439576,,,,,5212.393342800438,Optimal,False,5418359375.309657,2,41.39230969978362,683847384.6606917,77.02510000000001,93.5822067577622,10.713334080231682,23.998800337329605,9.876138366951745,3.409327890146184
c350,350.0,0.0,2045,38.76572309619532,0.0032576932315886,0.0097048976676251,0.0032412988165409,0.0001087715549081,0.4405063254511018,3.5771243506987904,246.9725735076325,,,,,5158.298481499776,Optimal,False,7361807924.513915,3,52.00847211262056,467229368.83918345,69.57561,94.8982544293329,7.065695914387012,19.36165773414783,8.89924763609202,3.3967141836687964
c350,350.0,0.0,2050,41.06791658165258,0.0031809424919087,0.0101761256746257,0.0021991408246373,3.865977141994861e-05,0.4046670679523986,3.881725568329132,252.0168366180842,,,,,5785.297924200073,Optimal,False,8412375086.673076,4,56.29438940673847,249682162.71527335,61.07735,95.27926071316388,6.696969919405737,18.9360957069466,8.677481801421834,3.561643986119026
