archetype_id,year,technology,capacity_gw
gas_bridge,2025,Brown Coal,4.82
gas_bridge,2025,Gas,11.873959999999999
gas_bridge,2025,Hydrogen,0.0
gas_bridge,2025,Liquid Fuel,0.6635
gas_bridge,2025,Solar,10.74249
gas_bridge,2025,Water,7.65412
gas_bridge,2025,Wind,13.38497
gas_bridge,2030,Biomass,0.0
gas_bridge,2030,Gas,10.64796
gas_bridge,2030,Hyblend,0.4
gas_bridge,2030,Hydrogen,0.0
gas_bridge,2030,Liquid Fuel,0.527
gas_bridge,2030,Solar,27.17036164824817
gas_bridge,2030,Water,7.65412
gas_bridge,2030,Wind,34.67769469927316
gas_bridge,2035,Biomass,0.0997891598329742
gas_bridge,2035,Gas,10.004100000000001
gas_bridge,2035,Hyblend,0.4
gas_bridge,2035,Hydrogen,0.0
gas_bridge,2035,Liquid Fuel,0.1035
gas_bridge,2035,Solar,27.106097533949953
gas_bridge,2035,Water,9.652119999999998
gas_bridge,2035,Wind,36.00022798197185
gas_bridge,2040,Biomass,0.3231146017803357
gas_bridge,2040,Gas,7.8857
gas_bridge,2040,Hyblend,0.4
gas_bridge,2040,Hydrogen,0.0
gas_bridge,2040,Liquid Fuel,0.1035
gas_bridge,2040,Solar,41.13061491156002
gas_bridge,2040,Water,9.565719999999999
gas_bridge,2040,Wind,37.27658939505221
gas_bridge,2045,Biomass,0.5642152924492045
gas_bridge,2045,Gas,5.263
gas_bridge,2045,Hyblend,0.4
gas_bridge,2045,Hydrogen,0.0
gas_bridge,2045,Liquid Fuel,0.1035
gas_bridge,2045,Solar,43.30019028896425
gas_bridge,2045,Water,9.495719999999999
gas_bridge,2045,Wind,14.662443097893181
gas_bridge,2050,Biomass,2.3165728205283282
gas_bridge,2050,Gas,2.406
gas_bridge,2050,Hyblend,0.4
gas_bridge,2050,Hydrogen,0.0
gas_bridge,2050,Liquid Fuel,0.1035
gas_bridge,2050,Solar,62.681206296093876
gas_bridge,2050,Water,9.495719999999999
gas_bridge,2050,Wind,34.58803730476426
storage_led,2025,Biomass,0.0
storage_led,2025,Black Coal,13.555
storage_led,2025,Brown Coal,4.82
storage_led,2025,Gas,11.873959999999999
storage_led,2025,Hydrogen,0.0
storage_led,2025,Liquid Fuel,0.6635
storage_led,2025,Solar,10.74249
storage_led,2025,Water,7.65412
storage_led,2025,Wind,13.38497
storage_led,2030,Biomass,0.0
storage_led,2030,Black Coal,12.855
storage_led,2030,Brown Coal,3.37
storage_led,2030,Gas,10.64796
storage_led,2030,Hyblend,0.4
storage_led,2030,Hydrogen,0.0
storage_led,2030,Liquid Fuel,0.527
storage_led,2030,Solar,12.78858
storage_led,2030,Water,7.65412
storage_led,2030,Wind,15.560280267752887
storage_led,2035,Biomass,0.09978915983297425
storage_led,2035,Gas,10.004100000000001
storage_led,2035,Hyblend,0.4
storage_led,2035,Hydrogen,0.0
storage_led,2035,Liquid Fuel,0.1035
storage_led,2035,Solar,27.106097533949946
storage_led,2035,Water,9.652119999999998
storage_led,2035,Wind,36.00022798197185
storage_led,2040,Biomass,0.3231146017803357
storage_led,2040,Gas,7.8857
storage_led,2040,Hyblend,0.4
storage_led,2040,Hydrogen,0.0
storage_led,2040,Liquid Fuel,0.1035
storage_led,2040,Solar,41.130614911560016
storage_led,2040,Water,9.565719999999999
storage_led,2040,Wind,37.27658939505223
storage_led,2045,Biomass,0.5642152924492045
storage_led,2045,Gas,5.263
storage_led,2045,Hyblend,0.4
storage_led,2045,Hydrogen,0.0
storage_led,2045,Liquid Fuel,0.1035
storage_led,2045,Solar,43.30019028896425
storage_led,2045,Water,9.495719999999999
storage_led,2045,Wind,14.662443097893178
storage_led,2050,Biomass,2.3165728205283287
storage_led,2050,Gas,2.406
storage_led,2050,Hyblend,0.4
storage_led,2050,Hydrogen,0.0
storage_led,2050,Liquid Fuel,0.1035
storage_led,2050,Solar,62.681206296093876
storage_led,2050,Water,9.495719999999999
storage_led,2050,Wind,34.58803730476426
