"method_id","year","output_cost_per_unit","cost_basis_year","currency","input_commodities","input_coefficients","input_units","energy_emissions_by_pollutant","process_emissions_by_pollutant","emissions_units","max_share","min_share","max_activity","availability_conditions","diagnostic_bundled_cost_per_unit","diagnostic_fuel_cost_per_unit","diagnostic_annual_mwh_delivered","diagnostic_ch4_physical_kg_per_mwh","diagnostic_n2o_physical_kg_per_mwh","diagnostic_co2_kg_per_mwh","renewable_share_pct","source_ids","confidence_rating","review_notes"
"electricity__grid_supply__gas_bridge",2035,58.59180214037054,2024,"AUD_2024","[""natural_gas"", ""diesel"", ""biomass""]","[1.6957382054301466, 0.0007537321000573121, 0.06024844020149927]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.08721362963290354, ""CH4_CO2e"": 0.00021784794591421983, ""N2O_CO2e"": 0.00011127133278441514, ""total_CO2e"": 0.08754274891160217}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",78.47741450423709,19.88561236386655,252023914.41684937,0.007780283782650707,0.0004198918218279817,87.21362963290353,74.94494613865463,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__gas_bridge",2040,78.507551343747,2024,"AUD_2024","[""natural_gas"", ""diesel"", ""biomass""]","[1.4025411158635746, 0.0025011524064841697, 0.2859380075890707]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.07226544390860094, ""CH4_CO2e"": 0.00036925463289826246, ""N2O_CO2e"": 0.00032851447154627476, ""total_CO2e"": 0.07296321301304548}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",96.03219146197381,17.52464011822681,277900927.7304444,0.01318766546065223,0.0012396772511180179,72.26544390860094,79.40792200181735,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__gas_bridge",2045,72.8007728354179,2024,"AUD_2024","[""natural_gas"", ""diesel"", ""hydrogen"", ""biomass""]","[0.9025641676091845, 0.0030570146492475765, 0.0, 0.3264670139017162]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.04660548353909449, ""CH4_CO2e"": 0.00035173572934721613, ""N2O_CO2e"": 0.0003541553418598412, ""total_CO2e"": 0.04731137461030154}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",84.73533655245815,11.934563717040248,263111288.60284078,0.012561990333829149,0.0013364352523012877,46.605483539094486,83.86291742824602,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__gas_bridge",2050,131.63751489944036,2024,"AUD_2024","[""natural_gas"", ""diesel"", ""hydrogen"", ""biomass""]","[0.8407965800803409, 0.00796049279048795, 0.0, 1.3151247097181058]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.043773382662184626, ""CH4_CO2e"": 0.0011369754750615675, ""N2O_CO2e"": 0.0013419407056786137, ""total_CO2e"": 0.04625229884292481}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",143.883523323864,12.246008424423643,296698415.99831223,0.040606266966484554,0.005063927191240052,43.77338266218462,86.17959883999902,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__nuclear_included",2025,3.156097680272947,2024,"AUD_2024","[""coal"", ""natural_gas""]","[5.924158536186452, 0.6211146035832787]","[""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.5735403298283918, ""CH4_CO2e"": 0.0002508448249633251, ""N2O_CO2e"": 0.0014446300295570928, ""total_CO2e"": 0.5752358046829121}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",26.679658370572035,23.52356069029909,200543806.8000814,0.00895874374869018,0.005451434073800352,573.5403298283918,24.45525309400073,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__nuclear_included",2030,6.295838086270171,2024,"AUD_2024","[""coal"", ""natural_gas"", ""diesel"", ""hydrogen""]","[5.107419343479816, 0.8325749853376222, 0.0007272069316985739, 0.22456411965715584]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.507563949447219, ""CH4_CO2e"": 0.0002587640071195193, ""N2O_CO2e"": 0.001190921488875459, ""total_CO2e"": 0.509013634943214}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",33.85416930357588,27.558331217305707,229260637.57755157,0.009241571682839967,0.004494043354247018,507.56394944721904,28.757231061315302,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__nuclear_included",2035,36.82235780529311,2024,"AUD_2024","[""coal"", ""natural_gas"", ""diesel"", ""biomass""]","[2.5059196978440315, 1.202819779153808, 0.0008820323007721883, 0.06024844020149915]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.28916672809317145, ""CH4_CO2e"": 0.0002588207807582539, ""N2O_CO2e"": 0.0006476180819158985, ""total_CO2e"": 0.2900731669558456}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",57.82887780033228,21.006519995039167,252023914.41684937,0.009243599312794778,0.0024438418185505598,289.16672809317146,53.939362850960535,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__nuclear_included",2040,64.81322758334092,2024,"AUD_2024","[""coal"", ""natural_gas"", ""diesel"", ""biomass""]","[1.4358686636274451, 1.282400504256167, 0.0027996535389192227, 0.2859380075890686]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.19694457821454162, ""CH4_CO2e"": 0.0004055319296133808, ""N2O_CO2e"": 0.0006580098800624298, ""total_CO2e"": 0.19800812002421742}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",84.47575436280162,19.662526779460705,277900927.7304444,0.014483283200477884,0.0024830561511789795,196.94457821454162,66.41533484903469,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__nuclear_included",2045,64.88461244719115,2024,"AUD_2024","[""coal"", ""natural_gas"", ""diesel"", ""hydrogen"", ""biomass""]","[0.8810424726522378, 0.9049599805011721, 0.0029151395194823393, 0.0, 0.32628317274472707]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.1275481881410494, ""CH4_CO2e"": 0.0003782805813772169, ""N2O_CO2e"": 0.000574099333227705, ""total_CO2e"": 0.12850056805565432}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",78.9663573738984,14.081744926707257,263111288.60284078,0.013510020763472033,0.0021664125782177544,127.5481881410494,75.88054562711994,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__nuclear_included",2050,127.86477371508936,2024,"AUD_2024","[""coal"", ""natural_gas"", ""diesel"", ""hydrogen"", ""biomass""]","[0.36501568244712185, 0.840673358355287, 0.00796049279048795, 0.0, 1.315124709718109]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.07661846048575782, ""CH4_CO2e"": 0.0011515637801869495, ""N2O_CO2e"": 0.0014149401455162893, ""total_CO2e"": 0.07918496441146106}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",140.98727055526044,13.122496840171065,296698415.99831223,0.041127277863819624,0.005339396775533167,76.61846048575782,82.35397050817383,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
