sweep_id,year,carrier,capacity_gw
c80,2040,Brown Coal,1.159994317234846
c80,2040,Gas,13.238365406792669
c80,2040,Liquid Fuel,0.0001605825147399
c80,2040,Solar,26.80288558096208
c80,2040,Water,6.8853
c80,2040,Wind,44.43680259387842
c80,2045,Biomass,8.617068277241197
c80,2045,Black Coal,0.8541894418077708
c80,2045,Brown Coal,1.1599752010887143
c80,2045,Gas,14.017696570694596
c80,2045,Liquid Fuel,0.0001603718364943
c80,2045,Solar,26.80438116889975
c80,2045,Water,6.8853
c80,2045,Wind,44.69900115222364
c80,2050,Biomass,9.872352856703085
c80,2050,Black Coal,0.8541892349677708
c80,2050,Gas,16.082608288488167
c80,2050,Liquid Fuel,0.0001603619953817
c80,2050,Solar,26.857134397411272
c80,2050,Water,6.8853
c80,2050,Wind,45.679098862630816
