sweep_id,carbon_price_aud_per_tco2e,tns_price_aud_per_tco2,year,cost_per_mwh_excl_fuel_carbon,co2_t_per_mwh,co2e_total_t_per_mwh,gj_per_mwh_coal,gj_per_mwh_diesel,gj_per_mwh_natural_gas,gj_per_mwh_biomass,annual_generation_twh,solve_gap_rel,solve_pinf_rel,solve_dinf_rel,solve_iterations,solve_wall_s,solve_model_status,tolerance_robust,carried_capex_aud_per_yr,carried_vintages,carried_gw,existing_fleet_fom_aud_per_yr,existing_fleet_active_gw,renewable_share_pct_bulk_grid,diagnostic_cost_per_mwh_year_t_incremental,diagnostic_bundled_cost_per_mwh,diagnostic_fuel_cost_per_mwh,diagnostic_carbon_cost_per_mwh
c80,80.0,0.0,2030,22.09170011365024,0.0959321861825838,0.0978639576331413,0.9964577152294236,5.288834810016502e-07,0.0893946555430238,0.9128502705683194,189.817959898235,0.124,0.00444,0.000472,141,10347.88544490002,Optimal,True,0.0,0,0.0,756365141.2291962,83.62287319488573,90.2260444338688,18.107013197645568,31.56605113982622,5.629921331529345,7.829116610651311
c80,80.0,0.0,2035,24.511999718547106,0.0618503254106878,0.065327667437983,0.5531125759188356,1.8292939569848563e-06,0.2205260367192459,1.832749222731756,219.33623201088184,0.404,0.000405,0.000709,140,10018.045443700626,Optimal,True,2679973418.4458685,1,24.19072380004401,561366841.5618914,79.92457109920628,91.8311705826008,9.73404793971401,20.920664313262527,5.960402978509876,5.226213395038641
c80,80.0,0.0,2040,29.4575455071758,0.0512412649550204,0.0569553209536541,0.3886067027562063,1.4656222069540586e-07,0.3032474292482793,3.092123805159482,239.3949206418274,0.0807,0.0144,0.00239,248,10508.85897460021,Optimal,False,4154208252.057981,2,35.79236844142542,469544841.9153396,76.42713158884881,92.27567937823396,10.143213016006593,21.961808163398537,7.2621694710996145,4.5564256762923305
c80,80.0,0.0,2045,31.748267435081,0.033619801635286,0.0404026043223561,0.205887155651312,5.689709785326972e-07,0.2844735344285299,3.714259329518618,247.15810128266003,0.547,0.0041,0.00274,135,4946.226848499849,Optimal,True,6039500192.388977,3,46.97806245208561,333152763.6475525,69.94319157566503,94.175188310795,5.964556834599788,16.03206609274496,6.835300912356681,3.232208345788489
c80,80.0,0.0,2050,33.98660076881022,0.0231596067826364,0.0304305563199481,0.0719427999396844,2.6141290232159665e-07,0.3246143019298839,4.006380242756014,251.92536408431025,0.0674,0.00898,2.24,186,4671.053529201075,Optimal,False,7149998628.864331,4,52.238366245306416,163608611.79716256,62.70074959620473,94.54520749860691,4.95575162329148,14.45170757802568,7.061511449138354,2.434444505595848
c150,150.0,0.0,2030,23.20440792500924,0.0177169087359209,0.0193648922664839,0.1102066266936994,7.009062323106896e-06,0.7045418793110938,0.889892834898631,189.817959898235,1.0,0.00166,0.000145,118,4296.497615199536,Optimal,True,0.0,0,0.0,417904769.56903255,78.60772531473334,91.15807344332252,21.002799764258384,34.22202475134333,10.314491147112353,2.904733839972598
c150,150.0,0.0,2035,25.726683591866973,0.0101368097904603,0.0134226281185959,0.0423126824496755,3.5522005698950334e-06,0.6350334793166397,1.8109196681607032,219.33623201088184,0.641,0.000259,3.08e-05,151,6860.0608530994505,Optimal,True,3398088144.5422726,1,30.992810576143835,358999311.2571337,76.372721695009,92.2357570329636,8.59733190494182,20.017114924276136,9.406388801544924,2.0133942177893904
c150,150.0,0.0,2040,30.99333762140727,0.008189438296779,0.0137087608689782,0.0219931797438758,1.4935505265692147e-06,0.5953771812953366,3.0546317846888176,239.3949206418274,0.766,0.00117,0.000143,167,6677.649494700134,Optimal,True,4765985570.583948,2,40.50902876651101,300159704.489455,74.05167489094205,92.8105250296788,9.831045366037506,21.726989797635017,9.839630301250772,2.05631413034674
c150,150.0,0.0,2045,32.93433105078394,0.0055939178773821,0.0121731301972301,9.339879055941216e-06,1.0540744597475055e-06,0.4656299478794919,3.647257778028529,247.15810128266003,0.324,0.00105,0.000295,160,5359.186801901087,Optimal,True,6672040337.45073,3,51.2361826002512,156958150.56167632,67.99544432854593,94.42871029965616,5.304249525750345,15.606878419019395,8.476659363684535,1.8259695295845144
c150,150.0,0.0,2050,35.43813776573745,0.0052276201657373,0.0123566623563346,5.577880801648628e-06,5.546012553939785e-07,0.420244519384413,3.9532335810131616,251.92536408431025,0.0783,0.00952,2.09,200,5252.119756700471,Optimal,False,7721020494.22917,4,56.07740648162796,80879727.25244349,61.84906682978396,94.91098387616678,4.469044003226898,14.34354427686191,8.021000920184813,1.853499353450201
c250,250.0,0.0,2030,23.59347120978106,0.0084990111558672,0.0101228843251842,0.0236417029093212,2.507624099379941e-05,0.7835641837976378,0.8900454390975595,189.817959898235,0.843,0.00173,0.000223,128,4791.334767699242,Optimal,True,0.0,0,0.0,360311939.6104373,77.42862022397749,91.21809220015712,21.69527390640889,35.25010186001812,11.02410687231318,2.5307210812960537
c250,250.0,0.0,2035,26.02186781255094,0.0054411058908449,0.0087079636078356,0.0045673017337581,3.1953329360169163e-06,0.6687837492125313,1.8072439884057665,219.33623201088184,0.599,0.000469,5.49e-05,174,11871.350990399718,Optimal,True,3614207153.360457,1,32.66710820213475,288471139.0718272,75.17013161865971,92.3168606443995,8.228736889071499,20.10497615654387,9.69924836551345,2.1769909019589204
c250,250.0,0.0,2040,31.708480430128265,0.0044821269407047,0.0099712473517435,0.0059945962270589,1.2561606794564687e-06,0.602469326841193,3.0431721817463684,239.3949206418274,0.761,0.00461,0.000242,143,30206.15605899878,Optimal,True,4978710238.338406,2,41.98848982992568,268580202.81003994,73.58595650650125,92.97851678270122,9.789508936997798,22.15433359929212,9.872012824358425,2.4928118379358954
c250,250.0,0.0,2045,33.62158307313587,0.0034677008820585,0.0099496326860371,2.1195896063438265e-06,6.877754534224143e-07,0.4767725908131965,3.596200687976925,247.15810128266003,0.152,0.00256,0.000293,143,4685.370670199394,Optimal,True,6926118462.675781,3,52.86090535542809,156193910.7363653,67.98466362338534,94.40771390249184,4.966595287352039,16.041913233547522,8.587909774686194,2.4874081715092893
